id,category,product_subcategory,product,quantity,price,purchase_date
665,Toys,Remote Control Drones,Mini Hand Gesture Drone,3,29.99,8/25/2024
666,Accessories,Mobile Accessories,Magnetic Phone Case,5,19.99,6/22/2025
667,Food - Condiments,Sauces,Salsa Verde,3,3.49,10/8/2025
668,Home,Bedding & Linens,Electric Blanket,5,59.99,3/8/2024
669,Food - Grains,Rice,Basmati Rice,9,5.79,1/14/2024
670,Food - Spices,Regional Seasoning Blends,Chipotle Seasoning Blend,8,2.49,12/17/2024
671,Food - Snacks,Healthy Snacks,BBQ Lentil Chips,4,3.49,2/24/2024
672,Home,Home Appliances,USB Desk Fan,8,14.99,3/3/2024
673,Food - Snacks,Nuts and Trail Mix,Fruit and Nut Medley,7,5.99,11/8/2024
674,Home,Home Appliances,USB Desk Fan,6,14.99,4/26/2025
675,Electronics,Camera Accessories,Smartphone Gimbal,7,89.99,9/26/2024
676,Kitchen,Baking Accessories,Silicone Baking Molds,5,15.99,8/10/2024
677,Home,Seasonal Home Decor,Fall-Themed Table Runner,9,19.99,12/28/2024
678,Photography,Camera Accessories,Camera Tripod,4,49.99,6/17/2024
679,Food - Frozen Meals,Frozen Vegetarian Meals,Stuffed Bell Peppers,4,5.99,3/20/2025
680,Food - Snacks,Dips and Spreads,Roasted Red Pepper Dip,10,3.29,11/26/2023
681,Clothing - Dresses,Casual Dresses,Summer Tank Dress,4,39.99,3/26/2025
682,Kitchen,Cooking Appliances,Multi-Layer Food Steamer,10,39.99,4/14/2024
683,Food - Condiments,Marinades and Sauces,Vegetarian Stir Fry Sauce,10,2.49,11/3/2023
684,Pets,Dog Supplies,Biodegradable Dog Waste Bags,4,14.99,8/3/2025
685,Food - Bakery,Breads,Garlic Naan Bread,6,3.99,4/27/2024
686,Kitchen,Kitchen Storage & Organization,Bamboo Utensil Holder,3,14.99,9/28/2025
687,Electronics,Cleaning Supplies,Screen Cleaning Kit,3,15.99,6/26/2024
688,Outdoor,Outdoor Recreation,Multi-Purpose Marine Rope,4,19.99,10/15/2024
689,Food - Prepared Foods,Frozen Meals,Herbed Mushroom Risotto,5,5.49,1/4/2025
690,Outdoor,Outdoor Furniture,Portable Hammock Swing,7,59.99,12/23/2023
691,Food - Dressings,Dressings,Creamy Ranch Dressing,4,2.49,11/13/2024
692,Kitchen,Small Appliances,Mini Electric Kettle,10,29.99,11/24/2024
693,Kitchen,Coffee Accessories,Coffee Making Kit,6,44.99,12/6/2024
694,Fitness,Yoga Equipment,Cork Yoga Mat,5,39.99,6/22/2025
695,Kitchen,Small Appliances,Air Fryer Oven,10,149.99,12/30/2024
696,Food - Sides,Vegetable Sides,Mashed Sweet Potatoes,6,3.99,6/6/2024
697,Food - Pasta,Specialty Pasta,Chickpea Pasta,4,4.19,12/16/2024
698,Audio,Headphones,Over-Ear Headphones,8,59.99,4/24/2025
699,Kitchen,Cooking Tools & Utensils,Digital Meat Thermometer,5,24.99,12/10/2023
700,Home,Bedding & Linens,Soft Plush Throw Blanket,7,29.99,8/6/2025
701,Home,Lighting & Lamps,Motion Sensor Light,5,19.99,7/24/2025
702,Food - Produce,Vegetable Snacks,Carrot Sticks,9,2.49,5/20/2024
703,Electronics,Wireless Video Transmission,Wireless HDMI Receiver,4,49.99,3/1/2025
704,Kitchen,Cooking Appliances,Electric Stir Fry Pan,10,49.99,7/23/2024
705,Fitness,Bikes & Cycling Equipment,Folding Exercise Bike,4,199.99,8/24/2025
706,Smart Home,Home Automation,Smart Thermostat,7,149.99,6/13/2024
707,Office,Office Supplies,Colorful Post-It Notes Set,7,9.99,1/2/2025
708,Outdoor,Camping Equipment,Camping Tent,8,79.99,3/22/2024
709,Food - Breakfast,Healthy Breakfast Options,Organic Granola,8,5.49,7/6/2024
710,Food - Soups,Creamy Soups,Cheesy Broccoli Soup Mix,5,2.99,9/13/2024
711,Kitchen,Kitchen Accessories,Dish Soap Dispenser,10,18.99,9/3/2025
712,Pets,Grooming Supplies,Pet Hair Vacuum Cleaner Attachment,7,14.99,10/1/2024
713,Food - Bakery,Breads,Artisan Bread,8,4.59,7/7/2025
714,Clothing - Shirts,Dress Shirts,Essential White Button-Up,3,44.99,8/21/2025
715,Food - Sauces,Ethnic Sauces,Coconut Curry Sauce,6,3.89,8/7/2025
716,Food - Canned Soups,Soups,Basil Tomato Soup,7,2.99,6/13/2024
717,Kitchen,Cooking Tools & Utensils,Set of Silicone Cooking Utensils,6,29.99,12/17/2024
718,Kitchen,Drinkware,Travel Mug with Leak-Proof Lid,8,24.99,12/30/2023
719,Home,Home Organization,Wall-Mounted Organizer,7,34.99,11/18/2024
720,Food - Health/Protein,Protein Supplements,Vanilla Protein Powder,7,24.99,1/5/2025
721,Food - Prepared Meals,Healthy Snacks,Vegetable Sushi Rolls,4,5.99,2/1/2024
722,Food - Produce,Prepared Vegetables,Honey Glazed Carrots,6,3.49,8/12/2024
723,Food - Frozen Foods,Frozen Pizza Crusts,Cauliflower Pizza Crust,9,5.99,3/15/2025
724,Outdoor,Outdoor Recreation,Reversible Swimming Pool Lounger,9,34.99,10/22/2024
725,Food - Sauces,Italian Sauces,Classic Pesto Sauce,6,4.29,3/8/2024
726,Food - Beverages,Smoothies,Peach Mango Smoothie,9,3.49,4/19/2025
727,Food - Oils,Oils,Organic Coconut Oil,5,8.99,9/11/2024
728,Food - Baking,Baking Kits,Gingerbread House Kit,9,6.99,8/20/2025
729,Accessories,Wallets,Leather Wallet,3,49.99,5/27/2024
730,Food - Sauces,Condiments,Honey Garlic Sauce,9,2.59,7/10/2025
731,Kitchen,Food Storage Solutions,Reusable Food Storage Bags,4,19.99,5/23/2025
732,Toys,Tabletop Games,Board Game,8,34.99,1/19/2024
733,Food - Sauces,Pasta Sauces,Italian Marinara Sauce,8,3.29,3/13/2024
734,Food - Breakfast,Pancakes & Waffles,Protein Pancake Mix,10,3.99,12/9/2023
735,Outdoor,Cycling Accessories,Bicycle Repair Kit,8,14.99,8/21/2025
736,Home,Lighting & Lamps,Decorative LED Neon Sign,4,45.99,5/24/2025
737,Food - Beverages,Herbal Tea,Honey Lemon Tea,10,3.29,7/20/2025
738,Food - Condiments,Marinades and Sauces,Tandoori Chicken Marinade,8,2.49,6/21/2024
739,Food - Snacks,Protein Snacks,Chocolate Coconut Protein Balls,7,2.99,8/9/2025
740,Clothing - Outerwear,Outerwear,Lightweight Rain Jacket,3,79.99,2/25/2025
741,Food - Condiments,Fruit Spreads,Blackberry Compote,5,5.29,9/16/2025
742,Outdoor,Garden Supplies,Outdoor Mosquito Repellent Lantern,5,34.99,11/25/2024
743,Fitness,Hydration Gear,Sports Bottle,10,15.99,8/25/2024
744,Food - Condiments,Fermented Condiments,Spicy Kimchi,3,4.79,2/22/2024
745,Automotive,Automotive Accessories,Portable Phone Mug Holder,7,14.99,7/10/2025
746,Food - Prepared Foods,Dips and Spreads,Creamy Spinach Dip,7,5.99,11/14/2023
747,Outdoor,Camping Equipment,Portable Campfire,7,39.99,9/17/2025
748,Food - Frozen Foods,Frozen Vegetables,Frozen Cauliflower Rice,10,2.99,7/3/2025
749,Food - Frozen Foods,Frozen Vegetables,Peas (frozen),6,1.89,6/25/2025
750,Food - Snacks,Healthy Snacks,Chickpea Snack Mix,4,3.49,4/3/2024
751,Travel,Travel Accessories,Travel Size Toiletry Bottles,8,9.99,7/23/2024
752,Food - Condiments,Hot Sauces,Sriracha Hot Chili Sauce,7,2.99,12/7/2023
753,Automotive,Car Cleaning,Car Vacuum,3,49.99,5/13/2025
754,Food - Condiments,Spicy Sauces,Chipotle Sauce,3,3.29,3/25/2025
755,Clothing - Shirts,Dress Shirts,Classic Slim Fit Shirt,8,49.99,1/23/2024
756,Food - Baking & Cooking,Baking Ingredients,Almond Flour Tortillas,5,4.99,1/11/2024
757,Automotive,Phone Accessories,Smartphone Holder for Car,9,14.99,5/11/2024
758,Food - Dairy,Dairy Alternatives,Hummus Variety Pack,5,5.99,2/4/2024
759,Food - Prepared Meals,Pies & Quiches,Spinach and Cheese Quiche,9,5.49,7/2/2025
760,Food - Frozen Foods,Frozen Pizza Crusts,Almond Flour Pizza Crust,3,7.99,11/28/2024
761,Clothing - Outerwear,Jackets,Two-Tone Windbreaker,10,59.99,9/4/2025
762,Food - Canned Goods,Coconut Products,Canned Coconut Milk,9,1.89,7/23/2024
763,Food - Seafood,Prepared Seafood,Lemon Dill Salmon,6,9.99,10/21/2023
764,Food - Sauces,Asian Sauces,Sesame Garlic Stir-Fry Sauce,3,2.79,4/12/2024
765,Accessories,Mobile Accessories,Wireless Earbuds Case,6,12.99,9/18/2024
766,Clothing - Shoes,Casual Footwear,Comfort Flats,7,44.99,2/23/2024
767,Fitness,Bikes & Cycling Equipment,Folding Exercise Bike,5,199.99,3/16/2025
768,Kitchen,Drinkware,Self-Stirring Mug,9,19.99,12/31/2023
769,Food - Snacks,Meat Snacks,Beef Jerky,9,5.99,9/3/2025
770,Food - Produce,Vegetables,Cabbage,4,1.29,10/19/2023
771,Pets,Pet Feeding Supplies,Adjustable Pet Feeder,6,39.99,5/18/2024
772,Clothing - Outerwear,Hoodies,Fleece Hoodie,10,39.99,5/16/2024
773,Food - Sauces,Condiments,Sriracha Honey Glaze,10,3.59,10/29/2023
774,Kitchen,Cooking Tools & Utensils,Digital Wireless Meat Thermometer,8,39.99,5/15/2025
775,Food - Sauces,Vegetable-Based Sauces,Roasted Red Pepper Sauce,8,3.29,2/5/2025
776,Office,Furniture,Adjustable Laptop Desk,7,59.99,2/26/2024
777,Kitchen,Cooking Tools & Utensils,Set of Silicone Cooking Utensils,3,29.99,5/26/2025
778,Health,Emergency Preparedness & First Aid,First Aid Kit,4,29.99,2/25/2024
779,Outdoor,Outdoor Furniture,Foldable Picnic Table,6,49.99,12/15/2024
780,Clothing - Shirts,Casual Shirts,Oversized Denim Shirt,7,49.99,11/4/2024
781,Food - Snacks,Dips and Spreads,Zesty Garlic Hummus,7,3.99,6/27/2024
782,Home Improvement,Outdoor Cleaning,Electric Pressure Washer,10,199.99,12/14/2023
783,Food - Bakery,Breads,Jalapeño Cornbread,8,3.29,3/31/2024
784,Kitchen,Kitchen Accessories,Eco-Friendly Stainless Steel Straws,3,12.99,12/2/2023
785,Clothing - Tops,Activewear,Golf Polo Shirt,3,39.99,1/30/2025
786,Food - Pasta,Specialty Pasta,Sweet Potato Noodles,3,3.79,3/7/2024
787,Food - Bakery,Breads,Rustic Italian Bread,5,3.59,6/21/2024
788,Toys,Building Toys,Foam Building Blocks for Kids,3,22.99,4/2/2025
789,Kitchen,Cookware,Ceramic Bakeware Set,9,49.99,6/30/2024
790,Food - Spreads,Nut Butters,Chocolate Hazelnut Spread,9,5.99,10/2/2024
791,Home,Lighting & Lamps,LED Strip Lights,8,19.99,12/1/2024
792,Kitchen,Small Appliances,Mini Waffle Maker,7,24.99,9/2/2024
793,Food - Canned Goods,Soups & Broths,Mushroom Soup (canned),9,2.49,4/2/2024
794,Audio,Headphones & Earbuds,Noise-Canceling Earbuds,6,79.99,1/7/2025
795,Food - Seasonings,Citrus Seasonings,Lemon Pepper Seasoning,6,3.29,6/19/2024
796,Food - Meal Kits,Vegetarian Meal Kits,Pasta Primavera Kit,9,7.49,1/6/2024
797,Home,Home Organization,Woven Storage Baskets,6,24.99,4/1/2025
798,Toys,Creative Arts & Crafts,Kids' Crafting Station,9,49.99,11/14/2024
799,Food - Cereals,Granola,Raisin Cinnamon Granola,7,3.79,8/26/2025
800,Food - Breakfast,Breakfast Cereals,Whole Grain Cereal,6,3.49,11/2/2024
801,Clothing - Dresses,Evening Wear,Satin Slip Dress,3,59.99,3/20/2025
802,Electronics,Home Entertainment Equipment,Smartphone Projector Kit,10,24.99,7/21/2025
803,Food - Salads,Noodle Salads,Asian Noodle Salad Kit,5,4.99,1/28/2025
804,Pets,Grooming Supplies,Pet Grooming Glove,5,12.99,5/8/2025
805,Clothing,Loungewear,Luxury Bath Robe,9,49.99,1/26/2025
806,Photography,Tripods & Accessories,Smartphone Tripod with Remote,8,29.99,12/7/2024
807,Food - Spices,Spice Blends,Chili Lime Seasoning,4,2.99,1/1/2025
808,Outdoor,Camping Equipment,Premium Flashlight,5,19.99,12/21/2023
809,Food - Condiments,Dressing,Orange Ginger Vinaigrette,9,3.99,9/16/2024
810,Clothing - Shirts,Dress Shirts,Essential White Button-Up,6,44.99,4/15/2025
811,Food - Spices,Spice Blends,Chili Lime Seasoning,9,2.99,6/3/2024
812,Pets,Dog Supplies,Biodegradable Dog Waste Bags,10,14.99,5/1/2025
813,Outdoor,Outdoor Accessories,Inflatable Party Cooler,3,19.99,8/25/2025
814,Food - Condiments,Marinades,Lemon Garlic Marinade,7,4.29,5/11/2024
815,Food - Snacks,Savory Snacks,Taro Chips,7,3.59,11/6/2024
816,Safety,Self-Defense Tools,Personal Safety Alarm,8,12.99,3/25/2025
817,Home,Home Fragrance & Accessories,Natural Soy Candles,6,19.99,5/11/2025
818,Food - Condiments,Salsas,Mango Salsa,10,3.49,3/30/2025
819,Kitchen,Drinkware,Travel Mug,3,18.99,3/7/2025
820,Outdoor,Camping Equipment,Outdoor Camping Hammock,7,29.99,2/27/2024
821,Food - Frozen Foods,Frozen Vegetables,Frozen Cauliflower Rice,7,2.99,6/2/2025
822,Food - Frozen Desserts,Ice Cream Flavors,Mint Chocolate Chip Ice Cream,4,4.99,3/1/2024
823,Electronics,Solar Power Accessories,Portable Solar Phone Charger,7,29.99,8/2/2025
824,Food - Beverages,Herbal Tea,Turmeric Ginger Tea,6,3.29,1/26/2025
825,Toys,Art Supplies,Non-Toxic Crayons for Kids,7,10.99,3/11/2024
826,Automotive,Automotive Accessories,Car Windshield Sun Shade,7,19.99,9/10/2025
827,Travel,Travel Accessories,Travel Document Organizer,8,15.99,2/3/2024
828,Clothing - Accessories,Headwear,Cable Knit Beanie,4,19.99,8/14/2024
829,Food - Condiments,Dressing,Classic Caesar Dressing,4,3.49,6/16/2024
830,Health,Wellness & Relaxation,Foot Massager Machine,3,59.99,10/29/2023
831,Food - Dairy,Cheese,Feta Cheese,9,4.99,9/11/2024
832,Food - Dairy,Cheese,Greek Feta Cheese,9,4.99,5/19/2025
833,Kitchen,Small Appliances,Portable Ice Maker,4,199.99,4/15/2024
834,Kitchen,Blenders & Juicers,Personal Blender with Cups,8,34.99,1/1/2025
835,Food - Snacks,Healthy Snacks,Oven-Baked Potato Chips,4,2.79,4/24/2025
836,Food - Condiments,Salsas,Mango Salsa,7,3.49,8/16/2024
837,Food - Grains,Pasta,Whole Wheat Pasta,8,2.49,8/17/2025
838,Travel,Travel Accessories,Travel Shoe Bags Set,4,15.99,11/27/2023
839,Food - Frozen Desserts,Asian Desserts,Mango Sticky Rice Dessert,3,4.5,9/7/2025
840,Food - Snacks,Healthy Snacks,Vegetable Chips,6,3.99,9/6/2025
841,Food - Condiments,Nut Butters,Almond Butter,7,6.49,2/20/2025
842,Food - Frozen,Frozen Meals,Coconut Rice,10,2.29,1/22/2024
843,Food - Salads,Salad Kits,Kale Salad Kit,9,4.99,8/21/2024
844,Food - Supplements,Supplements,Elderberry Syrup,8,11.99,12/19/2024
845,Home,Smart Home & Security,Smart LED Light Strip,9,29.99,1/26/2025
846,Outdoor,Camping Equipment,Air Mattress,10,49.99,5/11/2024
847,Food - Produce,Fresh Mushrooms,Mushrooms,6,2.99,5/9/2024
848,Electronics,Cameras & Photography,Video Camera,4,199,12/6/2024
849,Health,Fitness & Nutrition,Vegan Protein Powder,9,34.99,6/12/2025
850,Food - Pantry,Condiments,Nutritional Yeast,10,3.59,3/7/2024
851,Kitchen,Drinkware,Stainless Steel Water Pitcher,6,39.99,6/28/2024
852,Food - Seafood,Canned Seafood,Canned Sardines,3,3.29,5/19/2025
853,Food - Sauces,Ethnic Sauces,Coconut Curry Sauce,10,3.89,2/23/2024
854,Clothing - Shirts,Dress Shirts,Classic Slim Fit Shirt,4,49.99,8/31/2025
855,Food - Spices,Herbs and Spices,Organic Italian Seasoning,3,2.99,4/1/2024
856,Kitchen,Food Storage Solutions,Silicone Stretch Lids,4,14.99,11/1/2023
857,Food - Snacks,Healthy Snacks,Fruit and Nut Energy Bites,10,2.99,11/2/2024
858,Food - Baking,Baking Kits,Cinnamon Roll Kit,7,6.89,3/1/2025
859,Food - Bakery,Desserts,Cinnamon Sugar Donuts,4,4.99,10/10/2024
860,Food - Canned Goods,Soups & Broths,Chicken Broth,7,2.49,10/12/2024
861,Food - Dairy,Cheese,Cheddar Cheese Slices,9,3.49,5/26/2025
862,Home,Home Fragrance & Accessories,Scented Candle Set,9,24.99,5/3/2024
863,Fitness,Bikes & Cycling Equipment,Folding Exercise Bike,7,199.99,6/23/2025
864,Kitchen,Cookware,Non-Stick Grill Pan,6,39.99,4/20/2025
865,Food - Pasta,Pasta,Pasta (Linguine),10,1.89,3/28/2025
866,Food - Prepared Meals,Meal Kits - Pasta,Fettuccine Alfredo Dinner Kit,8,5.49,5/15/2024
867,Food - Seafood,Prepared Seafood,Teriyaki Salmon Fillets,10,9.99,8/3/2025
868,Food - Dairy,Dairy Spreads,Cream Cheese,5,2.69,10/26/2024
869,Food - Canned Goods,Soups & Broths,Vegetarian Chili,5,3.99,3/22/2024
870,Food - Meat,Poultry,Whole Chicken,8,12.99,12/13/2024
871,Food - Salads,Healthy Salads,Mediterranean Chickpea Salad,9,5.99,1/27/2025
872,Food - Dairy,Yogurt,Pineapple Coconut Yogurt,7,4.49,5/14/2025
873,Garden,Garden Supplies,Potting Soil,8,15.99,9/23/2024
874,Food - Breakfast,Breakfast Cereals,Granola,10,4.79,3/24/2025
875,Home,Bedding & Linens,Memory Foam Mattress Topper,9,109.99,2/22/2024
876,Clothing - Accessories,Bags,Canvas Tote Bag,7,19.99,1/16/2024
877,Home,Seasonal Home Decor,Fall-Themed Table Runner,8,19.99,3/14/2024
878,Home,Home Organization,Rechargeable Battery Organizer,6,17.99,9/18/2025
879,Clothing - Loungewear,Sleepwear,Cotton Pajama Set,10,49.99,5/1/2025
880,Food - Condiments,Natural Sweeteners,Honey,4,5.49,1/20/2024
881,Fitness,Fitness Accessories,Fitness Mat,7,49.99,3/28/2025
882,Fitness,Cardio Equipment,Weighted Jump Rope with Counter,10,14.99,3/2/2024
883,Food - Snacks,Chocolate Snacks,Dark Chocolate Covered Raisins,6,3.99,6/23/2024
884,Kitchen,Drinkware,Stainless Steel Water Pitcher,8,39.99,5/16/2025
885,Food - Frozen Vegetables,Frozen Veggie Snacks,Baked Falafel Balls,6,5.99,2/7/2024
886,Food - Snacks,Healthy Snacks,Rainbow Veggie Chips,3,3.29,12/20/2023
887,Food - Deli,Dips/Spreads,Spicy Hummus,7,3.49,12/10/2023
888,Automotive,Automotive Accessories,Car Trash Can,5,12.99,12/14/2023
889,Outdoor,Camping Equipment,Overnight Hiking Backpack,5,79.99,1/19/2025
890,Outdoor,Outdoor Accessories,Outdoor Fire Pit,3,149.99,9/6/2025
891,Outdoor,Camping Equipment,Pocket Blanket,10,24.99,11/14/2024
892,Food - Spices,Herbs and Spices,Ground Cinnamon,10,1.99,8/25/2024
893,Fitness,Hydration Gear,Sports Bottle,5,15.99,2/12/2025
894,Accessories,Tech Accessories,Trackpad for Laptop,6,49.99,5/24/2025
895,Fitness,Bikes & Cycling Equipment,Folding Exercise Bike,7,199.99,10/23/2023
896,Food - Snacks,Nuts and Trail Mix,Nut Mix,3,5.99,11/2/2023
897,Garden,Planters,Self-Watering Planter,5,24.99,4/30/2025
898,Office,Office Supplies,Desk Organizer Set,9,29.99,7/4/2025
899,Food - Canned Goods,Canned Fruits,Peach Halves (canned),10,2.49,4/6/2024
900,Gaming,Arcade Machines & Cabinets,Arcade Game Machine,7,299.99,7/19/2025
901,Office,Office Supplies,Multi-Purpose Scissors,5,8.99,5/25/2025
902,Kitchen,Cooking Accessories,Mini Fondue Set,10,34.99,3/19/2025
903,Clothing - Bottoms,Bottoms,Ripped Boyfriend Jeans,8,54.99,10/5/2025
904,Food - Frozen Foods,Frozen Appetizers,Crispy Onion Rings,3,4.29,12/14/2023
905,Food - Prepared Foods,Salads,Vegan Chickpea Salad,4,3.99,8/22/2025
906,Food - Condiments,Marinades and Sauces,Sweet BBQ Dipping Sauce,6,3.49,10/20/2024
907,Food - Frozen Foods,Frozen Meals,Frozen Pizza,10,7.99,8/29/2024
908,Food - Frozen Desserts,Ice Cream,Chocolate Fudge Ice Cream,3,5.99,7/4/2025
909,Food - Condiments,Marinades and Sauces,Italian Herb Balsamic Marinade,6,3.99,4/3/2024
910,Kitchen,Barware,Cocktail Shaker and Mixing Glass Set,4,39.99,2/6/2024
911,Food - Condiments,Guacamole,Smashed Avocado with Lime,6,2.49,4/29/2025
912,Food - Frozen Foods,Frozen Pizza Crusts,Cauliflower Pizza Crust,8,5.99,5/31/2024
913,Kitchen,Small Appliances,Microwave Popcorn Maker,7,19.99,9/19/2024
914,Food - Beverages,Juice,Pomegranate Juice,3,4.49,11/26/2023
915,Home,Decorative Wall Art & Accessories,Self-Adhesive Wallpaper,7,34.99,8/13/2025
916,Health,Health Devices,Portable UV Sterilizer,6,19.99,9/23/2024
917,Food - Dairy,Yogurt,Greek Yogurt,4,1.99,12/28/2023
918,Food - Frozen Vegetables,Frozen Veggie Snacks,Baked Falafel Balls,3,5.99,5/29/2024
919,Food - Snacks,Savory Snacks,Cinnamon Sugar Popcorn,10,2.89,10/30/2024
920,Home,Bedding & Linens,Bamboo Memory Foam Pillow,3,34.99,10/3/2024
921,Food - Fruits,Canned Fruits,Pineapple Chunks (canned),8,2.29,10/28/2024
922,Toys,Building Toys,Kids' Building Blocks,7,19.99,2/15/2024
923,Bicycles,Accessories,Bike Helmet,6,34.99,12/2/2023
924,Food - Fruits,Canned Fruits,Pineapple Chunks (canned),3,2.29,2/24/2025
925,Kitchen,Small Appliances,Mini Electric Kettle,10,29.99,11/24/2024
926,Audio,Portable Speakers,Bluetooth Shower Speaker,4,24.99,10/25/2023
927,Audio,Headphones & Earbuds,Noise Reduction Headphones,6,39.99,5/27/2025
928,Electronics,Home Entertainment Equipment,Smartphone Projector Kit,3,24.99,11/25/2024
929,Food - Grab-and-Go,Noodles,Sesame Noodles,3,5.99,2/28/2025
930,Clothing - Shirts,Casual Shirts,Striped Long Sleeve Shirt,3,29.99,1/29/2024
931,Food - Frozen Foods,Frozen Vegetables,Frozen Cauliflower Rice,4,2.99,9/20/2025
932,Home,Lighting & Lamps,Multicolored LED Strip Lights,10,29.99,11/25/2024
933,Food - Dairy,Cheese Spreads,Garlic Herb Cream Cheese,8,2.99,6/15/2024
934,Food - Frozen Meals,Frozen Asian Meals,Spicy Thai Noodles,8,1.99,1/23/2024
935,Beauty,Mirrors,LED Makeup Mirror,6,39.99,8/12/2024
936,Home,Decorative Wall Art & Accessories,Cushion Covers,4,35,3/25/2024
937,Kitchen,Coffee Equipment,Aeropress Coffee Maker,5,29.99,1/7/2024
938,Food - Condiments,Sauces,Sweet Chili Sauce,6,2.99,11/26/2024
939,Food - Baking,Flours & Meals,Almond Flour,3,5.99,8/20/2024
940,Kitchen,Baking Accessories,Silicone Baking Molds,9,15.99,3/29/2025
941,Electronics,Wireless Video Transmission,Wireless HDMI Receiver,6,49.99,12/20/2024
942,Food - Baking,Mixes,Chocolate Chip Cookie Dough,5,5.49,2/1/2024
943,Kitchen,Cutting Boards & Utensils,Bamboo Cutting Board,6,22,1/27/2025
944,Home Improvement,Outdoor Cleaning,Pressure Washer Accessories Kit,3,39.99,5/27/2024
945,Food - Baking,Baking Kits,Gingerbread House Kit,5,6.99,2/11/2024
946,Food - Spices,Dried Spices,Paprika,6,1.79,9/13/2025
947,Food - Frozen Foods,Frozen Entrees,Fried Rice,6,4.29,9/28/2025
948,Food - Meat,Pork,Pork Chops,6,9.49,3/21/2024
949,Fitness,Yoga Equipment,Yoga Mat Carrier,9,12.99,12/21/2024
950,Food - Condiments,Sauces,Sweet Chili Thai Sauce,10,3.49,3/21/2024
951,Fitness,Yoga Equipment,Foldable Yoga Mat Carry Bag,4,18.99,8/5/2024
952,Food - Supplements,Supplements,Chocolate Protein Powder,9,24.99,9/3/2025
953,Food - Canned Goods,Canned Vegetables,Diced Tomatoes (canned),8,1.49,12/5/2024
954,Food - Breakfast,Pancakes & Waffles,Maple Pecan Pancake Mix,5,4.99,2/4/2024
955,Garden,Garden Tools,Gardening Gloves,8,15.99,12/24/2023
956,Outdoor,Camping Equipment,Camping Lantern,7,34.99,9/15/2024
957,Fitness,Hydration Gear,Collapsible Water Bottle,10,12.99,11/15/2023
958,Outdoor,Outdoor Furniture,Portable Hammock Swing,9,59.99,10/9/2023
959,Kitchen,Cooking Tools & Utensils,Set of Silicone Cooking Utensils,5,29.99,1/21/2025
960,Food - Beverages,Drink Mixes,Lemonade Mix,10,1.99,2/9/2024
961,Pets,Pet Accessories,LED Flashing Pet Collar,3,14.99,11/17/2024
962,Food - Frozen Vegetables,Frozen Veggie Snacks,Oven-Baked Parmesan Zucchini,8,4.99,10/29/2023
963,Pets,Dog Toys,Indestructible Dog Toy,4,15.99,6/29/2025
964,Food - Snacks,Healthy Snacks,Peanut Butter Protein Balls,10,5.29,4/8/2025
965,Fitness,Yoga Equipment,Yoga Mat Carrier,9,12.99,5/23/2025
966,Food - Frozen Foods,Frozen Potato Products,Frozen Hash Browns,9,2.99,10/7/2025
967,Sports,Team Sports,Basketball,6,29.99,11/23/2024
968,Food - Baking,Baking Kits,Cinnamon Roll Kit,7,6.89,12/19/2023
969,Clothing - Tops,Shirts,Plaid Flannel Shirt,3,29.99,9/9/2025
970,Accessories,Kids' Bags,Kids' Dinosaur-Themed Lunchbox,5,19.99,6/3/2025
971,Food - Seafood,Prepared Seafood,Lemon Dill Salmon,10,9.99,5/2/2024
972,Office,Office Accessories,Leather Notebook Cover,5,29.99,10/15/2024
973,Kitchen,Small Appliances,Electric Fondue Pot,8,39.99,1/5/2025
974,Pets,Travel Accessories,Pet Safety Belt for Car,7,14.99,9/2/2024
975,Accessories,Personal Care,Rechargeable Hand Warmer,3,22.99,7/3/2024
976,Pets,Travel Accessories,Pet Travel Carrier,3,39.99,10/3/2025
977,Home,Eco-Friendly Home Products,Biodegradable Trash Bags,7,12.99,7/4/2025
978,Food - Condiments,Dressing,Thai Peanut Dressing,5,3.29,4/27/2024
979,Food - Canned Goods,Soups & Broths,Beef Chili,5,4.5,3/2/2024
980,Food - Baking,Mixes,Almond Flour Bread Mix,7,4.89,7/20/2024
981,Electronics,Computer Accessories,Wireless Mouse,10,25.99,6/8/2025
982,Fitness,Wearable Technology,Fitness Tracker with Heart Rate Monitor,4,59.99,9/17/2024
983,Electronics,Wireless Video Transmission,Wireless HDMI Receiver,4,49.99,10/24/2023
984,Pets,Pet Waste Management,Dog Waste Bag Dispenser,10,6.99,10/2/2024
985,Food - Produce,Fruits,Organic Green Apples,6,1.49,11/24/2024
986,Food - Bakery,Breads,Jalapeño Cornbread,3,3.29,2/4/2025
987,Food - Bakery,Breads,Rustic Italian Bread,5,3.59,11/28/2023
988,Outdoor,Outdoor Accessories,Hydration Backpack,5,39.99,11/5/2024
989,Kitchen,Cooking Appliances,Sous Vide Cooker,10,79.99,3/1/2024
990,Food - Prepared Meals,Healthy Snacks,Vegetable Sushi Rolls,10,5.99,3/19/2024
991,Accessories,Mobile Accessories,Portable Phone Charger,7,29.99,7/15/2025
992,Books,Cookbooks & Nutrition,Cookbook,3,27.99,1/2/2024
993,Kitchen,Blenders & Juicers,Personal Blender with Cups,7,34.99,9/26/2024
994,Electronics,Cameras & Photography,Digital Camera,8,299.99,6/16/2025
995,Clothing - Outerwear,Jackets,Denim Jacket,9,69.99,1/12/2025
996,Food - Beverages, smoothies,Peanut Butter Banana Smoothie,10,3.99,10/26/2023
